Question,Type,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6
"168. You have an EC2 Security Group with several running EC2 instances. You change the Security Group rules to allow inbound traffic on a new port and protocol, and launch several new instances in the same Security Group. The new rules apply:",Single Answer,Immediately to all instances in the security group.,Immediately to the new instances only.,"Immediately to the new instances, but old instances must be stopped and restarted before the new rules apply.","To all instances, but it may take several minutes for old instances to see the changes.",,
169. An edge location refers to which Amazon Web Service?,Single Answer,An edge location is referred to the network configured within a Zone or Region.,An edge location is an AWS Region.,An edge location is the location of the data center used for Amazon CloudFront.,An edge location is a Zone within an AWS Region.,,
"170. If I want to run a database in an Amazon instance, which is the most recommended Amazon storage option?",Single Answer,Amazon Instance Storage.,Amazon EBS.,You can't run a database inside an Amazon instance.,Amazon S3.,,
171. A customer is leveraging Amazon Simple Storage Service in eu-west-1 to store static content for a web-based property. The customer is storing objects using the Standard Storage class. Where are the customers objects replicated?,Single Answer,A single facility in eu-west-1 and a single facility in eu-central-1.,A single facility in eu-west-1 and a single facility in us-east-1.,Multiple facilities in eu-west-1.,A single facility in eu-west-1.,,
"172. You have set up an S3 bucket with a number of images in it and you have decided that you want anybody to be able to access these images, even anonymous users. To accomplish this you create a bucket policy. You will need to use an Amazon S3 bucket policy that specifies a [...] in the principal element, which means anyone can access the bucket.",Single Answer,hash tag (#).,anonymous user.,wildcard (*).,S3 user.,,
"173. You try to connect via SSH to a newly created Amazon EC2 instance and get one of the following error messages: 'Network error: Connection timed out' or 'Error connecting to [instance], reason: -> Connection timed out: connect,' You have confirmed that the network and security group rules are configured correctly and the instance is passing status checks. What steps should you take to identify the source of the behavior? (Choose 2 answers)",Multiple Answers (Checkbox),Verify that the private key file corresponds to the Amazon EC2 key pair assigned at launch.,Verify that your IAM user policy has permission to launch Amazon EC2 instances.,Verify that you are connecting with the appropriate user name for your AMI.,Verify that the Amazon EC2 Instance was launched with the proper IAM role.,Verify that your federation trust to AWS has been established.,
"174. An Auto-Scaling group spans 3 AZs and currently has 4 running EC2 instances. When Auto Scaling needs to terminate an EC2 instance by default, AutoScaling will: (Choose 2 answers)",Multiple Answers (Checkbox),"Allow at least five minutes for Windows/Linux shutdown scripts to complete, before terminating the instance.","Terminate the instance with the least active network connections. If multiple instances meet this criterion, one will be randomly selected.","Send an SNS notification, if configured to do so.",Terminate an instance in the AZ which currently has 2 running EC2 instances.,"Randomly select one of the 3 AZs, and then terminate an instance in that A.",
175. A photo-sharing service stores pictures in Amazon Simple Storage Service (S3) and allows application sign-in using an OpenID Connect-compatible identity provider. Which AWS Security Token Service approach to temporary access should you use for the Amazon S3 operations?,Single Answer,SAML-based Identity Federation.,Cross-Account Access.,AWS Identity and Access Management roles.,Web Identity Federation.,,
176. What is the maximum key length of a tag?,Single Answer,512 Unicode characters.,64 Unicode characters.,256 Unicode characters.,128 Unicode characters.,,
"177. Does Amazon RDS allow direct host access via Telnet, Secure Shell (SSH), or Windows Remote Desktop Connection?",Single Answer,Yes.,No.,,,,
178. A user wants to achieve High Availability with PostgreSQL DB. Which of the below mentioned functionalities helps achieve HA?,Single Answer,Multi-AZ.,Read Replica.,Multi region.,PostgreSQL does not support HA.,,
179. Are penetration tests allowed as long as they are limited to the customer's instances?,Single Answer,"Yes, they are allowed but only for selected regions.","No, they are never allowed.","Yes, they are allowed without any permission.","Yes, they are allowed but only with approval.",,
"180. You are building a system to distribute confidential documents to employees. Using CloudFront, what method could be used to serve content that is stored in S3, but not publically accessible from S3 directly?",Single Answer,Add the CloudFront account security group 'amazon-cf/amazon-cf-sg' to the appropriate S3 bucket policy.,Create a S3 bucket policy that lists the CloudFront distribution ID as the Principal and the target bucket as the Amazon Resource Name (ARN).,Create an Identity and Access Management (IAM) User for CloudFront and grant access to the objects in your S3 bucket to that IAM User.,Create an Origin Access Identity (OAI) for CloudFront and grant access to the objects in your S3 bucket to that OA.,,
"181. You require the ability to analyze a large amount of data, which is stored on Amazon S3 using Amazon Elastic MapReduce. You are using the cc2 8x large Instance type, whose CPUs are mostly idle during processing. Which of the below would be the most cost efficient way to reduce the runtime of the job?",Single Answer,Create more smaller flies on Amazon S3.,Add additional cc2 8x large instances by introducing a task group.,Use smaller instances that have higher aggregate 1/0 performance.,"Create fewer, larger fi les on Amazon S3.",,
182. What is the name of licensing model in which I can use your existing Oracle Database licenses to run Oracle deployments on Amazon RDS?,Single Answer,Bring Your Own License.,Role Bases License.,Enterprise License.,License Included.,,
183. Which of the following statements are true about Amazon Route 53 resource records? (Choose 2 answers),Multiple Answers (Checkbox),An Alias record can map one DNS name to another Amazon Route 53 DNS name.,A CNAME record can be created for your zone apex.,An Amazon Route 53 CNAME record can point to any DNS record hosted anywhere.,TIL can be set for an Alias record in Amazon Route 53.,An Amazon Route 53 Alias record can point to any DNS record hosted anywhere.,
184. Do you need to shutdown your EC2 instance when you create a snapshot of EBS volumes that serve as root devices?,Single Answer,"No, you only need to shutdown an instance before deleting it.",Yes.,"No, the snapshot would turn off your instance automatically.",No.,,
185. Can I initiate a 'forced failover' for my Oracle Multi-AZ DB Instance deployment?,Single Answer,Yes.,Only in certain regions.,Only in VPC.,No.,,
186. Amazon RDS provides high availability and failover support for DB instances using [...].,Single Answer,customized deployments.,AppStream customizations.,log events.,Multi-AZ deployments.,,
187. True or False: Amazon EC2 has no Amazon Resource Names (ARNs) because you can't specify a particular Amazon EC2 resource in an IAM policy.,Single Answer,True.,False.,,,,
188. A major client who has been spending a lot of money on his internet service provider asks you to set up an AWS Direct Connection to try and save him some money. You know he needs high-speed connectivity. Which connection port speeds are available on AWS Direct Connect?,Single Answer,500Mbps and 1Gbps.,1Gbps and 10Gbps.,100Mbps and 1Gbps.,1Gbps.,,
"189. What will be the state of the alarm at the end of 90 minutes, if the CPU utilization is constant at 80%?",Single Answer,ALERT.,ALARM.,OK.,INSUFFICIENT_DATA.,,
"190. A 3-tier e-commerce web application is current deployed on-premises and will be migrated to AWS for greater scalability and elasticity The web server currently shares read-only data using a network distributed file system The app server tier uses a clustering mechanism for discovery and shared session state that depends on I P multicast The database tier uses shared-storage clustering to provide database fail over capability, and uses several read slaves for scaling Data on all servers and the distributed file system directory is backed up weekly to off-site tapes. Which AWS storage and database architecture meets the requirements of the application?",Single Answer,"Web servers: store read-only data in S3, and copy from S3 to root volume at boot time. App servers: share state using a combination of DynamoDB and IP unicast. Database: use RDS with multi-AZdeployment and one or more read replicas. Backup: web servers, app servers, and database backed up weekly to Glacier using snapshots.","Web servers: store read-only data in an EC2 NFS server, mount to each web server at boot time. App servers: share state using a combination of DynamoDB and IP multicast. Database: use RDS with multi-AZ deployment and one or more Read Replicas. Backup: web and app servers backed up weekly via AMIs, database backed up via DB snapshots.","Web servers: store read-only data in S3, and copy from S3 to root volume at boot time. App servers: share state using a combination of DynamoDB and IP unicast. Database: use RDS with multi-AZ deployment and one or more Read Replicas. Backup: web and app servers backed up weekly via AMIs, database backed up via DB snapshots.","Web servers: store read-only data in S3, and copy from S3 to root volume at boot time. App servers: share state using a combination of DynamoDB and IP unicast. Database: use RDS with multi-AZdeployment. Backup: web and app servers backed up weekly via AMIs, database backed up via DB snapshots.",,
191. What are the four levels of AWS Premium Support?,Single Answer,"Basic, Developer, Business, Enterprise.","Basic, Startup, Business, Enterprise.","Free, Bronze, Silver, Gold.",All support is free.,,
192. What is the default maximum number of Access Keys per user?,Single Answer,10.,15.,2.,20.,,
"193. In the most recent company meeting, your CEO focused on the fact that everyone in the organization needs to make sure that all of the infrastructure that is built is truly scalable. Which of the following statements is incorrect in reference to scalable architecture?",Single Answer,A scalable service is capable of handling heterogeneity.,A scalable service is resilient.,A scalable architecture won't be cost effective as it grows.,Increasing resources results in a proportional increase in performance.,,
194. What does Amazon S3 stand for?,Single Answer,Simple Storage Solution.,Storage Storage Storage (triple redundancy Storage).,Storage Server Solution.,Simple Storage Service.,,
195. A company needs to monitor the read and write IOPs metrics for their AWS MySQL RDS instance and send real-time alerts to their operations team. Which AWS services can accomplish this? (Choose 2 answers),Multiple Answers (Checkbox),Amazon Simple Email Service.,Amazon CloudWatch.,Amazon Simple Queue Service.,Amazon Route 53.,Amazon Simple Notification Service.,
196. A user has configured ELB with two EBS backed EC2 instances. The user is trying to understand the DNS access and IP support for ELB. Which of the below mentioned statements may not help the user understand the IP mechanism supported by ELB?,Single Answer,The client can connect over IPV4 or IPV6 using Dualstack.,Communication between the load balancer and back-end instances is always through IPV4.,ELB DNS supports both IPV4 and IPV6.,The ELB supports either IPV4 or IPV6 but not both.,,
197. What is Oracle SQL Developer?,Single Answer,An AWS developer who is an expert in Amazon RDS using both the Oracle and SQL Server DB engines.,A graphical Java tool distributed without cost by Oracle.,It is a variant of the SQL Server Management Studio designed by Microsoft to support Oracle DBMS functionalities.,A different DBMS released by Microsoft free of cost.,,
198. You can use [...] to help secure the instances in your VPC.,Single Answer,security groups and multi-factor authentication.,security groups and 2-Factor authentication.,security groups and biometric authentication.,security groups and network ACLs.,,
199. What is the type of monitoring data (for Amazon EBS volumes) which is available automatically in 5- minute periods at no charge called?,Single Answer,Basic.,Primary.,Detailed.,Local.,,
200. A user comes to you and wants access to Amazon CloudWatch but only wants to monitor a specific LoadBalancer. Is it possible to give him access to a specific set of instances or a specific LoadBalancer?,Single Answer,No because you can't use IAM to control access to CloudWatch data for specific resources.,Yes. You can use IAM to control access to CloudWatch data for specific resources.,No because you need to be Sysadmin to access CloudWatch data.,Yes. Any user can see all CloudWatch data and needs no access rights.,,
201. Which Amazon Elastic Compute Cloud feature can you query from within the instance to access instance properties?,Single Answer,Instance user data.,Resource tags.,Instance metadata.,Amazon Machine Image.,,
202. Making your snapshot public shares all snapshot data with everyone. Can the snapshots with AWS Market place product codes be made public?,Single Answer,Yes.,No.,,,,
203. Which service enables AWS customers to manage users and permissions in AWS?,Single Answer,AWS Access Control Service (ACS).,AWS Identity and Access Management (IAM).,,,,
"204. You have launched an EC2 instance with four (4) 500 GB EBS Provisioned IOPS volumes attached. The EC2 instance is EBS-Optimized and supports 500 Mbps throughput between EC2 and EBS. The four EBS volumes are configured as a single RAID 0 device, and each Provisioned IOPS volume is provisioned with 4,000IOPS (4,000 16KB reads or writes), for a total of 16,000 random IOPS on the instance. The EC2 instance initially delivers the expected 16,000 IOPS random read and write performance. Sometime later, in order to increase the total random I/O performance of the instance, you add an additional two 500 GB EBS Provisioned IOPS volumes to the RAID. Each volume is provisioned to 4,000 IOPs like the original four, for a total of 24,000 IOPS on the EC2 instance. Monitoring shows that the EC2 instance CPU utilization increased from 50% to 70%, but the total random IOPS measured at the instance level does not increase at all. What is the problem and a valid solution?",Single Answer,Larger storage volumes support higher Provisioned IOPS rates; increase the provisioned volume storage of each of the 6 EBS volumes to 1TB.,The EBS-Optimized throughput limits the total IOPS that can be utilized; use an EBS Optimized instance that provides larger throughput. Mo,"Small block sizes cause performance degradation, limiting the I/O throughput; configure the instance device driver and filesystem to use 64KB blocks to increase throughput.","The standard EBS Instance root volume limits the total IOPS rate; change the instance root volume to also be a 500GB 4,000 Provisioned IOPS volume.","RAID 0 only scales linearly to about 4 devices; use RAID 0 with 4 EBS Provisioned IOPS volumes, but increase each Provisioned IOPS EBS volume to 6,000 IOPS.",
205. A user has configured a website and launched it using the Apache web server on port 80. The user is using ELB with the EC2 instances for Load Balancing. What should the user do to ensure that the EC2 instances accept requests only from ELB?,Single Answer,"Configure the security group of EC2, which allows access to the ELB source security group.",Configure the EC2 instance so that it only listens on the ELB port.,Open the port for an ELB static IP in the EC2 security group.,"Configure the security group of EC2, which allows access only to the ELB listener.",,
"206. You're trying to delete an SSL certificate from the IAM certificate store, and you're getting the message 'Certificate: <certificate< span=''>-id> is being used by CloudFront.' Which of the following statements is probably the reason why you are getting this error?",Single Answer,"Before you can delete an SSL certificate, you need to either rotate SSL certificates or revert from using a custom SSL certificate to using the default CloudFront certificate.",You can't delete SSL certificates. You need to request it from AWS.,"Before you can delete an SSL certificate, you need to set up the appropriate access level in IAM. Before you can delete an SSL certificate you need to set up https on your server.",Before you can delete an SSL certificate you need to set up https on your server.,,
"207. A government client needs you to set up secure cryptographic key storage for some of their extremely confidential data. You decide that the AWS CloudHSM is the best service for this. However, there seem to be a few pre-requisites before this can happen, one of those being a security group that has certain ports open. Which of the following is correct in regards to those security groups?",Single Answer,A security group that has port 22 (for SSH) or port 3389 (for RDP) open to your network.,A security group that has no ports open to your network.,A security group that has only port 3389 (for RDP) open to your network.,A security group that has only port 22 (for SSH) open to your network.,,
208. A web company is looking to implement an intrusion detection and prevention system into their deployed VPC. This platform should have the ability to scale to thousands of instances running inside of the VPC. How should they architect their solution to achieve these goals?,Single Answer,Configure an instance with monitoring software and the elastic network interface (ENI) set to promiscuous mode packet sniffing to see an traffic across the VPC. Configure servers running in the VPC using the host-based 'route' commands to send all traffic through the platform to a scalable virtualized IDS/IP.,Create a second VPC and route all traffic from the primary application VPC through the second VPC where the scalable virtualized IDS/IPS platform resides.,Configure servers running in the VPC using the host-based 'route' commands to send all traffic through the platform to a scalable virtualized IDS/IP.,Configure each host with an agent that collects all network traffic and sends that traffic to the IDS/IPS platform for inspection.,,
"209. You run an ad-supported photo sharing website using Amazon S3 to serve photos to visitors of your site. At some point you find out that other sites have been linking to the photos on your site, causing loss to your business. What is an effective method to mitigate this?",Single Answer,Remove public read access and use signed URLs with expiry dates.,Use CloudFront distributions for static content.,Block the IPs of the offending websites in Security Groups.,Store photos on an EBS volume of the web server.,,
210. Which of the following is not a true statement relating to the performance of your EBS volumes?,Single Answer,Frequent snapshots provide a higher level of data durability and they will not degrade the performance of your application while the snapshot is in progress.,General Purpose (SSD) and Provisioned IOPS (SSD) volumes have a throughput limit of 128 MB/s per volume.,"There is a relationship between the maximum performance of your EBS volumes, the amount of I/O you are driving to them, and the amount of time it takes for each transaction to complete.",There is a 5 to 50 percent reduction in IOPS when you first access each block of data on a newly created or restored EBS volume.,,
211. Changes to the backup window take effect [...].,Single Answer,from the next billing cycle.,after 30 minutes.,immediately.,after 24 hours.,,
212. Location of Instances are [...].,Single Answer,regional.,based on Availability Zone.,global.,,,
213. You log in to IAM on your AWS console and notice the following message. 'Delete your root access keys.' Why do you think IAM is requesting this?,Single Answer,Because the root access keys will expire as soon as you log out.,Because the root access keys expire after 1 week.,Because the root access keys are the same for all users.,Because they provide unrestricted access to your AWS resources.,,
214. What is the minimum charge for the data transferred between Amazon RDS and Amazon EC2 Instances in the same Availability Zone?,Single Answer,USD 0.10 per GB.,No charge. It is free.,USD 0.02 per GB,USD 0.01 per GB.,,
"215. In DynamoDB, could you use IAM to grant access to Amazon DynamoDB resources and API actions?",Single Answer,In DynamoDB there is no need to grant access.,Depended to the type of access.,Yes.,No.,,
216. The common use cases for DynamoDB Fine-Grained Access Control (FGAC) are cases in which the end user wants [...].,Single Answer,to change the hash keys of the table directly.,to check if an IAM policy requires the hash keys of the tables directly.,"to read or modify any code commit key of the table directly, without a middle-tier service.","to read or modify the table directly, without a middle-tier service.",,
217. What are the initial settings of an user created security group?,Single Answer,Allow all inbound traffic and Allow no outbound traffic.,Al low no inbound traffic and Al low no outbound traffic.,Al low no inbound traffic and Al low all outbound traffic.,Allow all inbound traffic and Allow all outbound traffic.,,
218. Which one of the following answers is not a possible state of Amazon CloudWatch Alarm?,Single Answer,INSUFFICIENT_DATA.,ALARM.,OK.,STATUS_CHECK_FAILED.,,
"219. [...] let you categorize your EC2 resources in different ways, for example, by purpose, owner, or environment.",Single Answer,wildcards.,pointers.,tags.,special filters.,,
220. Which of the below mentioned options is not available when an instance is launched by Auto Scaling with EC2 Classic?,Single Answer,Public IP.,Elastic IP.,Private DNS.,Private IP.,,
"221. You have a lot of data stored in the AWS Storage Gateway and your manager has come to you asking about how the billing is calculated, specifically the Virtual Tape Shelf usage. What would be a correct response to this?",Single Answer,You are billed for the virtual tape data you store in Amazon Glacier and are billed for the size of the virtual tape.,"You are billed for the virtual tape data you store in Amazon Glacier and billed for the portion of virtual tape capacity that you use, not for the size of the virtual tape.","You are billed for the virtual tape data you store in Amazon S3 and billed for the portion of virtual tape capacity that you use, not for the size of the virtual tape.",You are billed for the virtual tape data you store in Amazon S3 and are billed for the size of the virtual tape.,,
222. True or False: The new DB Instance that is created when you promote a Read Replica retains the backup window period.,Single Answer,True.,False.,,,,
"223. [...] is a fast, flexible, fully managed push messaging service.",Single Answer,Amazon SNS.,Amazon SES.,Amazon SQS.,Amazon FPS.,,
224. You are tasked with setting up a Linux bastion host for access to Amazon EC2 instances running in your VPC. Only clients connecting from the corporate external public IP address 72.34.51.100 should have SSH access to the host. Which option will meet the customer requirement?,Single Answer,"Security Group Inbound Rule: Protocol – TCP. Port Range – 22, Source 72.34.51.100/32","Port Range- 22, Source 72.34.51. 100/32.","Security Group Inbound Rule: Protocol – UDP, Port Range- 22, Source 72.34.51.100/32.","Network ACL Inbound Rule: Protocol – UDP, Port Range- 22, Source 72.34.51.100/32.","Network ACL Inbound Rule: Protocol – TCP, Port Range-22, Source 72.34.51.100/0.",
225. How can you secure data at rest on an EBS volume?,Single Answer,Attach the volume to an instance using EC2's SSL interface.,Write the data randomly instead of sequentially.,Encrypt the volume using the S3 server-side encryption service.,Create an IAM policy that restricts read and write access to the volume.,Use an encrypted file system on top of the EBS volume.,
226. Is there a method in the IAM system to allow or deny access to a specific instance?,Single Answer,Only for VPC based instances.,Yes.,No.,,,
"227. Using Amazon IAM, can I give permission based on organizational groups?",Single Answer,Yes but only in certain cases.,Yes.,No.,,,
228. Which services allow the customer to retain full administrative privileges of the underlying EC2 instances? (Choose 2 answers),Multiple Answers (Checkbox),Amazon Relational Database Service.,Amazon Elastic MapReduce.,Amazon ElastiCache.,Amazon DynamoDB.,AWS Elastic Beanstalk.,
"229. While launching an RDS DB instance, on which page I can select the Availability Zone?",Single Answer,REVIEW.,DB INSTANCE DETAILS.,MANAGEMENT OPTIONS.,ADDITIONAL CONFIGURATION.,,
"230. You are responsible for a legacy web application whose server environment is approaching end of life. You would like to migrate this application to AWS as quickly as possible, since the application environment currently has the following limitations. The VM's single 10GB VMDK is almost full Me virtual network interface still uses the 10Mbps driver, which leaves your 100Mbps WAN connection completely underutilized. It is currently running on a highly customized. Windows VM within a VMware environment: You do not have me installation media. This is a mission critical application with an RTO (Recovery Time Objective) of 8 hours. RPO (Recovery Point Objective) of 1 hour. How could you best migrate this application to AWS while meeting your business continuity requirements?",Single Answer,Use the EC2 VM Import Connector for vCenter to import the VM into EC2.,Use Import/Export to import the VM as an ESS snapshot and attach to EC2.,Use S3 to create a backup of the VM and restore the data into EC2.,Use me ec2-bundle-instance API to Import an Image of the VM into EC2.,,
231. You are setting up some EBS volumes for a customer who has requested a setup which includes a RAID (redundant array of inexpensive disks). AWS has some recommendations for RAID setups. Which RAID setup is not recommended for Amazon EBS?,Single Answer,RAID 5 only.,RAID 5 and RAID 6.,RAID 1 only.,RAID 1 and RAID 6.,,
"232. Much of your company's data does not need to be accessed often, and can take several hours for retrieval time, so it's stored on Amazon Glacier. However someone within your organization has expressed concerns that his data is more sensitive than the other data, and is wondering whether the high level of encryption that he knows is on S3 is also used on the much cheaper Glacier service. Which of the following statements would be most applicable in regards to this concern?",Single Answer,"There is no encryption on Amazon Glacier, that's why it is cheaper.",Amazon Glacier automatically encrypts the data using AES-128 a lesser encryption method than Amazon S3 but you can change it to AES-256 if you are willing to pay more.,"Amazon Glacier automatically encrypts the data using AES-256, the same as Amazon S3.",Amazon Glacier automatically encrypts the data using AES-128 a lesser encryption method than Amazon S3.,,
233. Can I use Provisioned IOPS with VPC?,Single Answer,Only Oracle based RDS.,No.,Only with MSSQL based RDS.,Yes for all RDS instances.,,
"234. To ensure failover capabilities, consider using a [...] for incoming traffic on a network interface.",Single Answer,primary public IP.,secondary private IP.,secondary public IP.,add on secondary IP.,,
"235. By default, EBS volumes that are created and attached to an instance at launch are deleted when that instance is terminated. You can modify this behavior by changing the value of the flag [...] to false when you launch the instance.",Single Answer,Delete On Termination.,Remove On Deletion.,Remove On Termination.,Terminate On Deletion.,,
236. Which AWS service helps this functionality?,Single Answer,AWS Simple Queue Service.,AWS Simple Notification Service.,AWS Simple Workflow Service.,AWS Simple Email Service.,,
237. Which of the below statements would be an incorrect response to your customers enquiry?,Single Answer,Amazon EMR customers can choose to send data to Amazon S3 using the HTTPS protocol for secure transmission.,Amazon S3 provides authentication mechanisms to ensure that stored data is secured against unauthorized access.,Every packet sent in the AWS network uses Internet Protocol Security (IPsec).,Customers may encrypt the input data before they upload it to Amazon S3.,,
238. The one-time payment for Reserved Instances is [...] refundable if the reservation is cancelled.,Single Answer,always.,in some circumstances.,never.,,,
239. Is it possible to get a history of all EC2 API calls made on your account for security analysis and operational troubleshooting purposes?,Single Answer,"Yes, by default, the history of your API calls is logged.","Yes, you should turn on the CloudTrail in the AWS console.","No, you can only get a history of VPC API calls.","No, you cannot store history of EC2 API calls on Amazon.",,
240. The Trusted Advisor service provides insight regarding which four categories of an AWS account?,Single Answer,"Security, fault tolerance, high availability, and connectivity.","Security, access control, high availability, and performance.","Performance, cost optimization, security, and fault tolerance.","Performance, cost optimization, access control, and connectivity.",,
"241. An AWS customer runs a public blogging website. The site users upload two million blog entries a month. The average blog entry size is 200 KB. The access rate to blog entries drops to negligible 6 months after publication and users rarely access a blog entry 1 year after publication. Additionally, blog entries have a high update rate during the first 3 months following publication, this drops to no updates after 6 months. The customer wants to use CloudFront to improve his user's load times. Which of the following recommendations would you make to the customer?",Single Answer,Duplicate entries into two different buckets and create two separate CloudFront distributions where S3 access is restricted only to CloudFront identity.,Create a CloudFront distribution with 'US' Europe price class for US/ Europe users and a different CloudFront distribution with Al l Edge Locations' for the remaining users.,Create a CloudFront distribution with S3 access restricted only to the CloudFront identity and partition the blog entry's location in S3 according to the month it was uploaded to be used withCloudFront behaviors.,Create a CloudFronl distribution with Restrict Viewer Access Forward Query string set to true and minimum TTL of 0.,,
242. Your supervisor has asked you to build a simple file synchronization service for your department. He doesn't want to spend too much money and he wants to be notified of any changes to files by email. What do you think would be the best Amazon service to use for the email solution?,Single Answer,Amazon SES.,Amazon CloudSearch.,Amazon SWF.,Amazon AppStream.,,
243. What are the Amazon EC2 API tools?,Single Answer,"They don't exist. The Amazon EC2 AMI tools, instead, are used to manage permissions.",Command-line tools to the Amazon EC2 web service.,They are a set of graphical tools to manage EC2 instances.,They don't exist. The Amazon API tools are a client interface to Amazon Web Services.,,
"244. Your customer wishes to deploy an enterprise application to AWS which will consist of several web servers, several application servers and a small (50GB) Oracle database information is stored, both in the database and the file systems of the various servers. The backup system must support database recovery whole server and whole disk restores, and individual file restores with a recovery time of no more than two hours. They have chosen to use RDS Oracle as the database. Which backup architecture will meet these requirements?",Single Answer,Backup RDS using automated daily DB backups Backup the EC2 instances using AMIs and supplement with file-level backup to S3 using traditional enterprise backup software to provide file level restore.,"Backup RDS using a Multi-AZ Deployment Backup the EC2 instances using Amis, and supplement by copying file system data to S3 to provide file-level restore.",Backup RDS using automated daily DB backups Backup the EC2 instances using EBS snapshots and supplement with file-level backups to Amazon Glacier using traditional enterprise backup software to provide file-level restore.,"Backup RDS database to S3 using Oracle RMAN Backup the EC2 instances using Amis, and supplement with EBS snapshots for individual volume restore.",,
245. You are architecting a highly-scalable and reliable web application which will have a huge amount of content. You have decided to use Cloudfront as you know it will speed up distribution of your static and dynamic web content and know that Amazon CloudFront integrates with Amazon CloudWatch metrics so that you can monitor your web application. Because you live in Sydney you have chosen the the Asia Pacific (Sydney) region in the AWS console. However you have set up this up but no CloudFront metrics seem to be appearing in the CloudWatch console. What is the most likely reason from the possible choices below for this?,Single Answer,Metrics for CloudWatch are available only when you choose the same region as the application you are monitoring.,You need to pay for CloudWatch for it to become active.,Metrics for CloudWatch are available only when you choose the US East (Virginia).,Metrics for CloudWatch are not available for the Asia Pacific region as yet.,,
246. Is the SQL Server Audit feature supported in the Amazon RDS SQL Server engine?,Single Answer,Yes.,No.,,,,
247. What is the command line instruction for running the remote desktop client in Windows?,Single Answer,desk.cpl.,mstsc.,,,,
248. Which of the following cannot be used in Amazon EC2 to control who has access to specific Amazon EC2 instances?,Single Answer,Security Groups.,IAM System.,SSH keys.,Windows passwords.,,
249. What is the charge for the data transfer incurred in replicating data between your primary and standby?,Single Answer,Same as the standard data transfer charge.,Double the standard data transfer charge.,No charge. It is free.,Half of the standard data transfer charge.,,
"250. You have a load balancer configured for VPC, and all back-end Amazon EC2 instances are in service. However, your web browser times out when connecting to the load balancer's DNS name. Which options are probable causes of this behavior? (Choose 2 answers)",Multiple Answers (Checkbox),The load balancer was not configured to use a public subnet with an Internet gateway configured.,The Amazon EC2 instances do not have a dynamically allocated private IP address.,The security groups or network ACLs are not property configured for web traffic.,The load balancer is not configured in a private subnet with a NAT instance.,The VPC does not have a VGW configured.,
251. Resources that are created in AWS are identified by a unique identifier called an,Single Answer,Amazon Resource Number.,Amazon Resource Nametag.,Amazon Resource Name.,Amazon Resource Namespace.,,
252. What are the two types of licensing options available for using Amazon RDS for Oracle?,Single Answer,BYOL and Enterprise License.,BYOL and License Included.,Enterprise License and License Included.,Role based License and License Included.,,
"253. In AWS, which security aspects are the customer's responsibility? (Choose 4 answers)",Single Answer,Security Group and ACL (Access Control List) settings.,Decommissioning storage devices.,Patch management on the EC2 instance's operating system.,Life-cycle management of IAM credentials.,Controlling physical access to compute resources.,Encryption of EBS (Elastic Block Storage) volumes.
"254. You have a web application running on six Amazon EC2 instances, consuming about 45% of resources on each instance. You are using auto-scaling to make sure that six instances are running at all times. The number of requests this application processes is consistent and does not experience spikes. The application is critical to your business and you want high availability at all times. You want the load to be distributed evenly between all instances. You also want to use the same Amazon Machine Image (AMI) for all instances. Which of the following architectural choices should you make?",Single Answer,Deploy 6 EC2 instances in one Availability Zone and use Amazon Elastic Load Balancer.,Deploy 3 EC2 instances in one region and 3 in another region and use Amazon Elastic Load Balancer.,Deploy 3 EC2 instances in one Availability Zone and 3 in another Availability Zone and use Amazon Elastic Load Balancer.,Deploy 2 EC2 instances in three regions and use Amazon Elastic Load Balancer.,,
"255. An ERP application is deployed across multiple AZs in a single region. in the event of failure, the Recovery Time Objective (RTO) must be less than 3 hours, and the Recovery Point Objective (RPO) must be 15 minutes the customer realizes that data corruption occurred roughly 1.5 hours ago. What DR strategy could be used to achieve this RTO and RPO in the event of this kind of failure?",Multiple Answers,"Take hourly DB backups to S3, with transaction logs stored in S3 every 5 minutes.",Use synchronous database master-slave replication between two Availability Zones.,Take hourly DB backups to EC2 Instance store volumes with transaction logs stored in S3 every 5 minutes.,Take 15 minute DB backups stored in Glacier with transaction logs stored in S3 every 5 minutes.,,
"256. You have been setting up an Amazon Virtual Private Cloud (Amazon VPC) for your company, including setting up subnets. Security is a concern, and you are not sure which is the best security practice for securing subnets in your VPC. Which statement below is correct in describing the protection of AWS resources in each subnet?",Single Answer,"You can use multiple layers of security, including security groups and network access control lists (ACL).",You can only use access control lists (ACL).,You don't need any security in subnets.,"You can use multiple layers of security, including security groups, network access control lists (ACL) and CloudHS.",,
257. Amazon EC2 provides a repository of public data sets that can be seamlessly integrated into AWS cloud-based applications. What is the monthly charge for using the public data sets?,Single Answer,A 1 time charge of 10$ for all the datasets.,1$ per dataset per month.,10$ per month for all the datasets.,There is no charge for using the public data sets.,,
258. [...] embodies the 'share-nothing' architecture and essentially involves breaking a large database into several smaller databases. Common ways to split a database include: 1. Splitting tables that are not joined in the same query onto different hosts or 2. Duplicating a table across multiple hosts and then using a hashing algorithm to determine which host receives a given update.,Multiple Answers,$harding.,Fai lure recovery.,Federation.,DOL operations.,,
